player,quarter,top_speed,age,age_month,opponent_level,interval,playng_venue,position,score_dif,match,playing_time,season,sprints,zv1,zv2,zv3,zv4,zv5,dcel1,dcel2,dcel3,dcel4,acel1,acel2,acel3,acel4,fc1,fc2,fc3,fc4,fc5,trimp,tot_dist,lid,mid,mhid,hid,tot_ac,miac,mhiac,hiac,tot_dc,midc,mhidc,hidc
692169,1,25.1,30,30.6,3,9,2,3,-0.11,22.10.15_Flamengo,5.6,22_23,0.8928571428571429,43.75,75.35714285714286,25.53571428571429,7.142857142857143,1.0714285714285714,9.285714285714286,12.678571428571429,3.7500000000000004,0.17857142857142858,7.678571428571429,15.000000000000002,3.035714285714286,0.0,0.17857142857142858,0.35714285714285715,0.7142857142857143,1.0714285714285714,0.17857142857142858,44,159.2857142857143,119.10714285714286,25.53571428571429,33.75,8.214285714285715,25.714285714285715,15.000000000000002,18.03571428571429,3.035714285714286,25.892857142857146,12.678571428571429,16.607142857142858,3.928571428571429
703092,1,25.7,27,27.0,3,9,2,2,-0.11,22.10.15_Flamengo,7.6,22_23,2.368421052631579,40.65789473684211,63.55263157894737,47.10526315789474,14.078947368421053,1.3157894736842106,7.36842105263158,9.605263157894738,4.2105263157894735,1.973684210526316,7.105263157894737,9.605263157894738,5.394736842105264,0.13157894736842105,0.0,0.5263157894736842,0.2631578947368421,0.39473684210526316,1.3157894736842106,76,171.71052631578948,104.21052631578948,47.10526315789474,62.5,15.394736842105264,22.236842105263158,9.605263157894738,15.131578947368421,5.526315789473684,23.157894736842106,9.605263157894738,15.789473684210527,6.184210526315789
708457,1,25.7,30,30.7,3,9,2,1,-0.11,22.10.15_Flamengo,8.3,22_23,0.8433734939759036,35.42168674698795,70.6024096385542,37.71084337349397,3.012048192771084,0.48192771084337344,8.433734939759036,10.722891566265059,4.578313253012047,0.7228915662650601,7.831325301204819,9.638554216867469,5.0602409638554215,0.0,0.36144578313253006,0.12048192771084336,0.36144578313253006,1.2048192771084336,0.12048192771084336,63,153.1325301204819,106.02409638554217,37.71084337349397,41.20481927710843,3.4939759036144573,22.53012048192771,9.638554216867469,14.69879518072289,5.0602409638554215,24.457831325301203,10.722891566265059,16.02409638554217,5.301204819277108
709286,1,25.1,28,28.4,3,9,2,1,-0.11,22.10.15_Flamengo,4.4,22_23,2.0454545454545454,35.45454545454545,65.0,39.54545454545454,17.045454545454543,4.3181818181818175,8.409090909090908,11.363636363636363,2.727272727272727,1.8181818181818181,6.59090909090909,9.772727272727272,5.909090909090908,0.0,1.5909090909090908,0.9090909090909091,0.22727272727272727,0.22727272727272727,1.1363636363636362,49,166.59090909090907,100.45454545454545,39.54545454545454,60.90909090909091,21.363636363636363,22.27272727272727,9.772727272727272,15.68181818181818,5.909090909090908,24.318181818181817,11.363636363636363,15.909090909090908,4.545454545454545
709202,1,25.5,20,20.8,3,9,2,1,-0.11,22.10.15_Flamengo,0.6,22_23,1.6666666666666667,170.0,126.66666666666667,25.0,10.0,6.666666666666667,13.333333333333334,65.0,8.333333333333334,0.0,21.666666666666668,63.333333333333336,6.666666666666667,0.0,25.0,3.3333333333333335,0.0,1.6666666666666667,0.0,23,368.33333333333337,296.6666666666667,25.0,41.66666666666667,16.666666666666668,91.66666666666667,63.333333333333336,70.0,6.666666666666667,86.66666666666667,65.0,73.33333333333334,8.333333333333334
708797,1,23.3,33,33.5,3,9,2,2,-0.11,22.10.15_Flamengo,4.0,22_23,2.0,54.75,65.5,37.5,8.25,0.0,10.75,14.5,5.25,0.75,8.5,13.5,6.5,0.0,0.75,0.25,0.5,1.0,0.5,37,173.0,120.25,37.5,45.75,8.25,28.5,13.5,20.0,6.5,31.25,14.5,20.5,6.0
709288,1,25.9,32,32.8,3,9,2,1,-0.11,22.10.15_Flamengo,5.6,22_23,1.7857142857142858,61.78571428571429,59.10714285714286,28.214285714285715,9.285714285714286,2.678571428571429,8.392857142857144,13.928571428571429,3.035714285714286,1.25,8.214285714285715,12.857142857142858,4.642857142857143,0.0,0.7142857142857143,0.17857142857142858,0.17857142857142858,0.35714285714285715,0.8928571428571429,40,168.21428571428572,120.89285714285715,28.214285714285715,40.17857142857143,11.964285714285715,25.714285714285715,12.857142857142858,17.5,4.642857142857143,26.607142857142858,13.928571428571429,18.214285714285715,4.285714285714286
703456,1,26.0,32,32.1,3,9,2,3,-0.11,22.10.15_Flamengo,9.4,22_23,1.5957446808510638,45.638297872340424,65.63829787234042,34.25531914893617,9.574468085106382,2.7659574468085104,7.659574468085106,10.638297872340425,4.468085106382978,0.9574468085106382,6.808510638297872,11.48936170212766,4.680851063829787,0.0,0.0,0.2127659574468085,0.2127659574468085,1.1702127659574468,0.425531914893617,74,162.5531914893617,111.27659574468085,34.25531914893617,46.59574468085106,12.340425531914892,22.97872340425532,11.48936170212766,16.170212765957448,4.680851063829787,23.72340425531915,10.638297872340425,16.06382978723404,5.425531914893617
685024,1,24.4,27,27.0,3,9,2,3,-0.11,22.10.15_Flamengo,4.4,22_23,0.9090909090909091,33.18181818181818,67.95454545454545,21.818181818181817,3.6363636363636362,0.45454545454545453,7.499999999999999,11.818181818181817,4.090909090909091,0.6818181818181818,5.454545454545454,12.045454545454545,3.8636363636363633,0.0,2.2727272727272725,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,36,131.36363636363635,101.13636363636363,21.818181818181817,25.909090909090907,4.090909090909091,21.363636363636363,12.045454545454545,15.909090909090908,3.8636363636363633,24.09090909090909,11.818181818181817,16.59090909090909,4.7727272727272725
692169,2,25.9,30,30.6,3,9,2,3,-4.67,22.10.15_Flamengo,2.4,22_23,1.6666666666666667,63.75,69.58333333333334,26.666666666666668,13.333333333333334,4.166666666666667,11.25,20.833333333333336,5.833333333333334,0.0,13.75,18.75,5.416666666666667,0.0,2.5,0.8333333333333334,0.4166666666666667,0.8333333333333334,0.4166666666666667,26,190.0,133.33333333333334,26.666666666666668,44.16666666666667,17.5,37.91666666666667,18.75,24.166666666666668,5.416666666666667,37.91666666666667,20.833333333333336,26.666666666666668,5.833333333333334
